班级课表,,,,,,,
,,,,,,,
2025-2026学年第二学期,,,,,,,
,,,,,,,
班级名称:电气工程及其自动化251   所属专业:电气工程及其自动化   应选学分:31.25    计划人数/实际人数: 0/0,,,,,,,
,,,,,,,
"课表格式说明：教师姓名 课程名称(序号) (第n周-第m周,教室)",,,,,,,
,,,,,,,
节次/周次,星期一,星期二,星期三,星期四,星期五,星期六,星期日
第1节,大学英语Ⅱ(TSB15002.I9) (刘云),,大学英语Ⅱ(TSB15002.I9) (刘云),C语言程序设计（实验）(TSB28003.46) (赵生艳),,,
第2节,,,,,,,
,,,,,,,
,"(1-9 11-17,致知楼A109(0168))",,"(单1-11,致知楼A109(0168))","(2-8 10-14,软件实验室(7)-B（龙湖图书馆1楼）(0317),软件实验室(7)-A（龙湖图书馆1楼）(0316))",,,
第3节,,形势与政策Ⅱ(TSB26008.H5) (王玉平),高等数学A2(XJB28012.24) (杨建安),线性代数(XJB28007.82) (郭竹梅),,,
第4节,,"(11-14,致知楼A203(0172)",,,,,
,,大学物理A（上）(XJB29007.01) (张樊伟),,,,,
,,"(1-9,致知楼A204(0173)","(1-17,致知楼B111(0169))","(双2-16,致知楼C111(0212))",,,
第5节,高等数学A2(XJB28012.24) (杨建安),线性代数(XJB28007.82) (郭竹梅),,大学体育Ⅱ(TSB19002.85) (潘红霞),高等数学A2(XJB28012.24) (杨建安),,
第6节,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.87) (李影),,,
,"(1-9 11-17,致知楼B111(0169))","(1-9 11-17,致知楼A111(0170))",,"(1-16,龙湖校区风雨操场(0166)","(1-8 10-16,致知楼B111(0169))",,
,,,,大学体育Ⅱ(TSB19002.89) (荆维玲),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.90) (于江宏),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.82) (高斌),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.83) (孙文树),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.86) (贾义政),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.88) (魏一凡),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
,,,,大学体育Ⅱ(TSB19002.81) (费战斗),,,
,,,,"(1-16,龙湖校区篮球场-1(9000)",,,
,,,,大学体育Ⅱ(TSB19002.84) (王杰),,,
,,,,"(1-16,龙湖校区风雨操场(0166)",,,
第7节,思想道德与法治(TSB26001.95) (梁红玉),C语言程序设计(TSB28002.37) (施铮),,大学物理A（上）(XJB29007.01) (张樊伟),思想道德与法治(TSB26001.95) (梁红玉),,
第8节,,,,,,,
,,,,,,,
,"(1-9 11-17,致知楼A303(0180))","(1-9 11-13,致知楼A111(0170))",,"(1-9,致知楼A204(0173))","(1-6,致知楼A109(0168))",,
第9节,,大学生军事理论(TSB00002.D5) (陈慧中),大学物理A（上）(XJB29007.01) (张樊伟),,,,
第10节,,,"(单3-9,敏行楼B5-5（大学物理）(0340) 组1)",,,,
,,,大学物理A（上）(XJB29007.01) (张樊伟),,,,
,,"(3-9 11-12,致知楼C205(0216))","(双4-10,敏行楼B5-4（大学物理）(0339) 组2)",,,,
第11节,,,,,,,
第12节,,,,,,,
,,,,,,,
课程列表:,,,,,,,
序号,课程代码,课程名称,学分,课程序号,教师,备注,操作
1,TSB00002,大学生军事理论,2,TSB00002.D5 ,陈慧中,,授课计划 课程小结 
2,TSB15002,大学英语Ⅱ,2,TSB15002.I9 ,刘云,,授课计划 课程小结 
3,TSB19002,大学体育Ⅱ 篮球俱乐部(男）,1,TSB19002.81 ,费战斗,,授课计划 课程小结 
4,TSB19002,大学体育Ⅱ 篮球俱乐部(男）,1,TSB19002.82 ,高斌,,授课计划 课程小结 
5,TSB19002,大学体育Ⅱ 匹克球俱乐部（男）,1,TSB19002.83 ,孙文树,,授课计划 课程小结 
6,TSB19002,大学体育Ⅱ 足球俱乐部（男）,1,TSB19002.84 ,王杰,,授课计划 课程小结 
7,TSB19002,大学体育Ⅱ 篮球俱乐部(男）,1,TSB19002.85 ,潘红霞,,授课计划 课程小结 
8,TSB19002,大学体育Ⅱ 健身健美俱乐部（男）,1,TSB19002.86 ,贾义政,,授课计划 课程小结 
9,TSB19002,大学体育Ⅱ 乒乓球俱乐部（男）,1,TSB19002.87 ,李影,,授课计划 课程小结 
10,TSB19002,大学体育Ⅱ 气排球俱乐部(男),1,TSB19002.88 ,魏一凡,,授课计划 课程小结 
11,TSB19002,大学体育Ⅱ 网球俱乐部（女）,1,TSB19002.89 ,荆维玲,,授课计划 课程小结 
12,TSB19002,大学体育Ⅱ 跆拳道俱乐部（女）,1,TSB19002.90 ,于江宏,,授课计划 课程小结 
13,TSB26001,思想道德与法治,3,TSB26001.95 ,梁红玉,,授课计划 课程小结 
14,TSB26008,形势与政策Ⅱ,0.25,TSB26008.H5 ,王玉平,,授课计划 课程小结 
15,TSB28002,C语言程序设计,1,TSB28002.37 ,施铮,,授课计划 课程小结 
16,TSB28003,C语言程序设计（实验）,1,TSB28003.46 ,赵生艳,,授课计划 课程小结 
17,XJB28007,线性代数,3,XJB28007.82 ,郭竹梅,,授课计划 课程小结 
18,XJB28012,高等数学A2,6,XJB28012.24 ,杨建安,,授课计划 课程小结 
19,XJB29007,大学物理A（上）,3,XJB29007.01 ,张樊伟,,授课计划 课程小结 
